player_id,player_name,position,age,club,season,goals_p90,xg_p90,assists_p90,xa_p90,shots_p90,key_passes_p90,pass_accuracy_pct,dribbles_p90,tackles_interceptions_p90,clearances_p90,progressive_passes_p90
190,Rodri,Midfielder,31,Man City,2024-2025,0.32,0.2,0.23,0.2,0.77,2.91,92.4,1.63,2.32,0.53,10.0
191,Armando Broja,Forward,25,Chelsea,2023-2024,0.41,,0.26,0.19,3.19,0.47,74.1,1.56,0.88,1.12,4.51
192,Bukayo Saka,Winger,26,Arsenal,2023-2024,0.34,0.26,0.49,0.14,1.93,2.61,72.8,2.6,1.43,0.92,4.62
193,Harvey Barnes,Winger,28,Newcastle,2022-2023,0.52,0.04,0.4,0.28,2.36,0.79,75.3,2.09,0.54,0.79,3.61
194,Douglas Luiz,Midfielder,29,Aston Villa,2024-2025,0.28,0.15,0.03,0.14,2.18,2.18,89.8,1.38,1.43,0.13,9.76
195,João Cancelo,Defender,33,Man City,2024-2025,0.18,0.12,0.11,0.14,0.3,0.45,85.6,0.43,3.96,3.61,4.99
196,Steven Bergwijn,Winger,27,Tottenham,2021-2022,0.35,0.28,0.42,0.51,2.03,1.71,84.7,3.81,2.12,0.78,4.46
197,Murillo,Defender,26,Nottingham Forest,2025-2026,0.13,0.09,0.03,0.01,0.76,0.46,83.9,0.77,3.48,5.14,3.87
198,Angelo Ogbonna,Defender,37,West Ham,2022-2023,0.16,0.06,0.1,0.05,1.02,1.3,92.3,0.35,4.19,3.29,3.89
199,Allan Saint-Maximin,Winger,31,Newcastle,2025-2026,0.44,0.57,0.29,,3.1,1.94,84.1,3.92,1.56,0.0,6.79
200,Curtis Jones,Midfielder,26,Liverpool,2024-2025,0.32,0.2,0.39,0.19,2.16,2.62,93.2,1.06,2.91,0.73,7.99
201,Jordan Henderson,Midfielder,33,Liverpool,2022-2023,0.04,0.24,0.24,0.17,1.12,2.51,82.9,2.33,3.24,1.96,8.72
202,Will Hughes,Midfielder,30,Crystal Palace,2021-2022,0.07,0.16,0.12,0.16,2.36,2.27,86.9,2.12,3.2,1.28,8.16
203,Erling Haaland,Forward,24,Man City,2021-2022,0.52,0.6,0.33,0.14,2.99,1.99,81.8,1.47,1.12,0.51,2.94
204,Kai Havertz,Midfielder,27,Arsenal,2024-2025,0.18,0.19,0.38,0.04,1.22,1.89,87.1,1.7,3.87,1.73,7.8
205,Savinho,Winger,20,Man City,2021-2022,0.42,0.5,0.42,,1.63,3.54,80.3,3.21,1.19,0.66,4.78
206,César Azpilicueta,Defender,35,Chelsea,2021-2022,0.0,0.07,0.16,0.06,0.89,1.26,90.6,1.17,4.94,4.59,2.26
207,James Garner,Midfielder,23,Everton,2021-2022,0.13,0.14,0.33,0.3,1.11,2.28,87.1,1.45,4.09,1.45,8.82
208,Divin Mubama,Forward,23,Man City,2025-2026,0.94,0.55,0.15,0.22,2.82,0.79,79.4,1.46,1.09,0.25,1.45
209,Evan Ferguson,Forward,23,Brighton,2023-2024,0.59,0.11,0.09,0.23,3.44,0.1,74.7,2.8,1.08,0.94,2.35
210,Boubacar Kamara,Midfielder,27,Aston Villa,2023-2024,0.22,0.19,0.34,0.23,1.65,2.41,81.7,1.42,2.99,1.69,8.82
211,Aaron Wan-Bissaka,Defender,31,West Ham,2025-2026,0.26,0.1,0.02,0.08,0.88,0.88,90.4,0.66,5.55,4.4,7.28
212,Ferran Torres,Winger,24,Man City,2021-2022,0.14,0.39,0.26,0.21,3.13,1.58,73.7,1.8,1.5,0.22,7.63
213,Kaoru Mitoma,Winger,27,Brighton,2021-2022,0.24,0.25,0.0,0.11,3.36,2.99,78.9,3.72,1.36,1.52,6.68
214,Sean Longstaff,Midfielder,27,Newcastle,2022-2023,0.22,0.02,0.4,0.13,1.92,1.48,90.2,1.48,2.36,1.85,6.04
215,Alexis Mac Allister,Midfielder,26,Brighton,2022-2023,0.2,0.05,0.31,0.15,1.91,3.09,89.2,1.87,2.84,2.12,5.74
216,Jan Paul van Hecke,Defender,24,Brighton,2021-2022,0.0,0.07,0.08,0.0,0.95,0.44,80.0,0.67,5.35,3.28,4.59
217,Tomáš Souček,Midfielder,31,West Ham,2023-2024,0.12,0.17,0.31,0.14,1.39,2.57,82.0,1.67,1.97,0.16,7.98
218,Aaron Wan-Bissaka,Defender,29,West Ham,2022-2023,0.16,0.07,0.12,0.0,0.81,0.57,85.6,0.51,2.18,3.61,
219,Ferran Torres,Winger,25,Man City,2022-2023,0.4,0.31,0.32,0.14,3.08,2.64,75.4,3.44,0.79,0.8,5.43
220,Mateo Kovačić,Midfielder,34,Man City,2025-2026,0.27,0.16,0.15,0.29,1.68,,88.6,1.83,2.78,,10.59
221,Hélder Costa,Winger,35,Leeds United,2025-2026,0.52,0.29,0.41,0.03,1.71,2.21,84.2,3.22,1.05,0.63,6.48
222,Christian Pulisic,Winger,26,Chelsea,2021-2022,0.43,0.1,0.42,0.29,2.11,2.38,90.2,3.36,1.32,0.46,3.73
223,Bruno Fernandes,Midfielder,35,Man United,2025-2026,0.22,0.34,0.25,0.33,1.22,2.88,88.9,2.68,3.15,1.44,9.49
224,Ben White,Defender,28,Arsenal,2022-2023,0.15,0.01,0.12,0.08,0.57,0.29,90.6,1.02,5.08,3.33,5.93
225,James Tarkowski,Defender,32,Everton,2021-2022,0.08,0.02,0.19,0.01,0.88,1.05,80.6,1.09,3.95,4.85,4.86
226,Rasmus Højlund,Forward,23,Man United,2023-2024,0.81,0.27,,0.07,3.74,1.63,79.2,1.7,1.22,0.54,5.12
227,Thiago Alcântara,Midfielder,33,Liverpool,2021-2022,0.22,0.1,0.38,0.16,1.54,1.82,94.6,0.89,3.05,1.52,8.24
228,Abdoulaye Doucouré,Midfielder,34,Everton,2025-2026,0.12,,0.43,0.15,1.4,1.58,91.0,2.6,1.69,1.79,10.94
229,Jack Clarke,Winger,28,Sunderland,2025-2026,0.81,0.59,0.14,0.26,2.14,2.94,86.2,4.53,1.78,0.28,
230,Daniel James,Winger,27,Leeds United,2021-2022,0.19,,0.08,0.25,1.55,1.61,80.2,2.43,1.01,0.9,4.13
231,Kaoru Mitoma,Winger,29,Brighton,2024-2025,0.44,0.29,0.42,0.33,3.09,2.79,87.4,2.96,0.58,0.96,5.34
232,Dele Alli,Midfielder,29,Everton,2022-2023,0.29,0.09,0.33,0.31,1.31,2.65,86.8,2.06,2.91,1.2,5.45
233,Mason Mount,Winger,26,Chelsea,2021-2022,0.25,0.16,0.26,0.27,3.17,0.98,86.9,3.06,0.99,0.3,2.52
234,Alex Scott,Midfielder,23,Bournemouth,2022-2023,,0.12,0.19,0.06,1.15,,83.2,1.57,4.79,0.78,6.52
235,Wilfried Zaha,Winger,34,Crystal Palace,2022-2023,0.44,0.36,0.36,0.25,2.18,1.98,75.3,2.45,,1.02,6.2
236,James Garner,Midfielder,24,Everton,2022-2023,0.22,0.16,0.14,0.31,1.04,3.34,87.6,3.04,3.71,1.91,9.31
237,Martin Ødegaard,Midfielder,28,Arsenal,2023-2024,0.45,0.1,0.27,0.16,2.14,2.4,88.8,1.64,2.07,2.05,5.94
238,Wesley Fofana,Defender,26,Chelsea,2023-2024,0.19,0.06,0.12,0.02,0.74,0.99,83.9,0.84,2.83,3.13,6.54
239,Sandro Tonali,Midfielder,24,Newcastle,2021-2022,0.04,0.01,0.3,0.12,0.32,2.67,95.0,1.6,3.47,1.24,7.32
240,Mohammed Kudus,Winger,26,West Ham,2023-2024,0.67,0.14,0.38,0.25,2.86,2.25,82.1,3.15,1.25,0.88,7.92
241,Oleksandr Zinchenko,Defender,30,Arsenal,2023-2024,0.14,0.13,0.1,0.01,0.26,0.08,83.7,0.81,3.99,7.53,4.92
242,Savinho,Winger,23,Man City,2024-2025,0.32,0.31,0.25,,1.84,1.42,79.0,3.55,0.89,0.78,5.89
243,Simon Adingra,Winger,26,Brighton,2025-2026,0.26,0.49,0.31,0.32,2.08,1.47,82.2,3.32,0.48,0.43,4.33
244,Ben Chilwell,Defender,30,Chelsea,2023-2024,0.05,0.15,0.08,0.01,0.48,0.77,91.5,0.87,3.17,5.24,3.69
245,Luke Shaw,Defender,29,Man United,2021-2022,0.13,0.01,0.15,0.14,0.56,0.05,81.0,1.05,4.18,3.3,3.79
246,Marc Cucurella,Defender,28,Chelsea,2024-2025,0.08,0.13,0.08,0.1,,0.7,86.8,0.11,4.32,4.45,2.06
247,Noni Madueke,Winger,23,Chelsea,2021-2022,0.36,0.32,0.23,0.21,2.1,2.24,78.1,3.46,2.24,0.86,4.51
248,Jack Grealish,Midfielder,30,Man City,2023-2024,0.24,0.15,0.14,0.22,1.29,2.4,87.2,1.52,3.21,1.48,7.57
249,Declan Rice,Midfielder,26,West Ham,2021-2022,0.28,0.11,0.27,0.27,1.49,2.09,86.8,2.24,1.98,1.27,6.24
250,Moisés Caicedo,Midfielder,23,Brighton,2022-2023,0.22,0.12,0.21,0.24,0.86,3.35,84.9,1.26,2.7,1.38,8.28
251,Victor Lindelöf,Defender,34,Man United,2023-2024,0.14,0.09,0.08,0.01,0.21,1.06,85.2,,5.98,3.8,5.4
252,Ismaïla Sarr,Winger,29,Crystal Palace,2024-2025,0.48,0.23,0.12,0.28,3.06,2.54,84.4,2.57,1.25,0.96,4.36
253,Eddie Nketiah,Forward,26,Arsenal,2022-2023,0.48,0.52,0.19,0.15,,0.74,75.8,2.86,1.47,0.61,4.36
254,Carlos Vinícius,Forward,30,Fulham,2022-2023,0.54,0.52,0.01,0.25,2.76,0.94,75.1,1.08,1.51,0.39,5.11
255,Andrew Robertson,Defender,33,Liverpool,2024-2025,0.28,0.18,0.09,,0.69,0.15,85.4,1.15,3.25,2.71,5.1
256,Carlos Baleba,Midfielder,22,Brighton,2023-2024,0.26,0.07,0.48,0.21,1.39,1.7,80.4,1.26,1.74,1.05,10.28
257,Gabriel Jesus,Forward,28,Man City,2021-2022,0.76,0.87,0.1,0.23,3.37,2.29,74.0,1.21,0.66,0.0,2.87
258,Pierre-Emile Højbjerg,Midfielder,33,Tottenham,2025-2026,0.44,0.35,0.14,0.26,0.97,1.85,84.9,1.98,3.68,0.64,10.26
259,Steven Bergwijn,Winger,29,Tottenham,2023-2024,0.15,0.28,0.42,0.24,1.08,1.89,78.0,2.6,0.85,0.52,2.57
260,Conor Gallagher,Midfielder,26,Chelsea,2023-2024,0.03,0.18,0.1,0.22,1.22,3.53,80.0,1.44,2.46,1.22,7.82
261,Danny Welbeck,Forward,33,Brighton,2021-2022,0.65,0.31,0.33,0.1,2.91,1.61,71.8,1.96,1.42,0.06,3.72
262,Dominic Solanke,Forward,30,Bournemouth,2023-2024,0.9,0.61,0.29,0.25,3.63,1.47,77.5,0.95,1.14,1.33,2.4
263,Archie Gray,Midfielder,22,Tottenham,2025-2026,0.21,0.19,0.34,0.14,2.0,2.03,88.8,2.61,2.92,0.41,5.78
264,Lewis Hall,Defender,22,Newcastle,2024-2025,0.12,0.08,0.0,0.06,1.05,0.44,86.2,0.35,3.88,4.9,5.73
265,Joško Gvardiol,Defender,25,Man City,2024-2025,0.22,0.14,0.0,0.12,0.11,0.74,85.2,0.75,5.16,4.94,5.84
266,Luca Koleosho,Winger,22,Burnley,2023-2024,0.47,0.26,0.12,0.37,1.8,0.4,83.1,2.06,0.67,0.67,5.02
267,Michael Olise,Winger,23,Crystal Palace,2022-2023,0.18,0.24,0.48,0.3,3.11,2.96,83.1,2.42,1.78,0.59,5.58
268,Fabinho,Midfielder,30,Liverpool,2021-2022,0.14,0.06,0.12,0.24,2.1,3.04,79.7,1.01,3.55,0.71,7.1
269,Jarrod Bowen,Winger,31,West Ham,2024-2025,0.24,0.32,0.21,0.32,2.56,2.54,81.0,3.58,1.08,0.81,3.01
270,Sean Longstaff,Midfielder,30,Newcastle,2025-2026,0.26,0.23,0.31,0.16,2.19,2.45,85.4,1.25,3.4,1.5,9.3
271,Jordan Henderson,Midfielder,36,Liverpool,2021-2022,0.15,0.13,0.36,0.32,1.99,2.85,81.4,2.58,1.88,1.35,6.14
272,Lisandro Martínez,Defender,26,Man United,2021-2022,0.0,0.09,0.04,0.16,0.92,0.54,90.4,0.62,5.05,5.08,3.32
273,Wilson Odobert,Winger,23,Tottenham,2023-2024,0.26,0.45,0.32,0.36,1.9,2.65,75.9,4.11,0.25,0.76,3.82
274,Bruno Guimarães,Midfielder,28,Newcastle,2022-2023,0.26,0.17,0.35,0.25,1.59,0.5,79.4,1.45,1.37,1.7,7.34
275,Alexis Mac Allister,Midfielder,28,Liverpool,2023-2024,0.17,0.2,0.44,0.33,1.3,1.83,82.3,1.45,3.59,0.56,7.29
276,Ben Davies,Defender,32,Tottenham,2022-2023,0.06,0.1,0.12,0.13,0.96,0.89,90.5,1.03,4.73,3.74,6.82
277,Alexander Isak,Forward,28,Newcastle,2024-2025,0.57,0.43,0.2,0.05,2.54,1.1,87.0,2.37,0.96,1.06,5.36
278,Thiago Silva,Defender,38,Chelsea,2024-2025,0.16,0.12,0.16,0.09,0.88,,83.2,0.54,3.27,6.28,4.58
279,Wilson Odobert,Winger,21,Tottenham,2022-2023,0.4,0.26,0.06,0.26,2.66,1.77,87.9,5.47,0.5,1.09,5.33
280,Anthony Elanga,Forward,24,Nottingham Forest,2023-2024,0.81,0.39,0.12,0.08,3.17,0.81,82.5,2.18,0.69,0.61,2.97
281,Gabriel Martinelli,Winger,25,Arsenal,2023-2024,0.5,0.27,0.09,0.27,1.79,2.08,83.0,3.91,0.82,0.98,4.47
282,Pierre-Emerick Aubameyang,Forward,36,Arsenal,2022-2023,0.8,0.5,0.1,0.19,2.08,0.87,74.8,2.42,1.17,1.34,2.34
283,Kyle Walker,Defender,36,Man City,2023-2024,0.18,0.07,0.03,0.03,0.47,0.34,84.7,0.44,5.02,4.81,4.1
284,Nicolas Pépé,Winger,30,Arsenal,2023-2024,0.52,0.35,0.1,0.22,2.76,1.03,84.2,4.14,0.81,0.96,4.61
285,Callum Wilson,Forward,35,Newcastle,2024-2025,0.98,0.45,0.2,0.01,3.39,1.46,76.0,1.07,0.5,1.78,3.1
286,Mohammed Kudus,Winger,26,West Ham,2022-2023,0.29,0.4,0.21,0.41,1.97,2.18,78.5,3.82,1.1,0.84,6.6
287,Jérémy Doku,Winger,26,Man City,2025-2026,0.38,0.54,0.15,0.28,2.41,2.7,75.1,4.6,1.56,0.88,6.16
288,Mohamed Salah,Forward,36,Liverpool,2023-2024,0.27,0.53,0.1,0.27,1.97,1.19,89.0,,0.81,0.0,1.84
289,Alexander Isak,Forward,26,Newcastle,2022-2023,0.42,0.68,0.21,0.06,4.9,1.42,80.0,2.12,1.62,1.76,2.06
290,Wesley Fofana,Defender,24,Chelsea,2022-2023,0.12,0.12,0.01,0.1,0.23,0.67,82.8,0.36,6.26,2.12,4.05
291,Ilkay Gündogan,Midfielder,37,Man City,2024-2025,0.3,0.24,0.09,0.27,1.92,3.45,88.3,2.28,3.13,1.0,9.71
292,Virgil van Dijk,Defender,37,Liverpool,2025-2026,0.24,0.15,0.08,0.08,0.09,0.76,88.1,0.06,5.11,3.84,4.97
293,James Ward-Prowse,Midfielder,30,West Ham,2021-2022,0.2,0.09,0.41,0.11,0.67,2.56,90.2,2.61,2.43,1.74,7.43
294,Dele Alli,Midfielder,33,Everton,2025-2026,0.37,0.17,0.13,0.17,1.01,1.66,84.3,0.67,1.93,1.4,5.76
295,Lyle Foster,Forward,27,Burnley,2023-2024,0.79,0.77,0.17,0.19,2.58,1.33,77.7,1.33,0.92,0.0,2.49
296,Bukayo Saka,Winger,25,Arsenal,2021-2022,0.57,0.25,0.4,0.32,3.36,1.42,83.1,4.15,0.32,0.25,1.94
297,Joe Rothwell,Midfielder,29,Leeds United,2021-2022,0.15,0.16,0.23,0.23,0.4,3.04,87.4,2.2,0.8,2.24,7.25
298,Will Hughes,Midfielder,29,Crystal Palace,2022-2023,0.18,0.1,0.3,0.12,0.73,2.28,83.8,1.38,2.48,2.1,5.35
299,Mario Lemina,Midfielder,31,Wolves,2021-2022,0.24,0.13,0.1,0.26,1.07,2.03,88.4,2.34,2.82,1.35,10.56
300,Diogo Jota,Winger,30,Liverpool,2023-2024,0.59,0.45,0.4,0.14,3.48,3.0,85.0,5.2,1.24,0.7,4.49
301,Diogo Jota,Winger,28,Liverpool,2021-2022,0.08,0.4,0.34,0.29,3.09,3.0,84.6,1.54,0.56,0.41,5.04
302,Mohammed Kudus,Winger,27,West Ham,2024-2025,0.55,0.25,0.42,0.24,3.34,0.78,80.1,2.7,0.86,0.64,7.31
303,João Pedro,Forward,29,Brighton,2025-2026,0.8,0.79,0.18,0.07,3.73,0.44,74.0,0.73,0.87,0.57,3.67
304,Kalvin Phillips,Midfielder,33,West Ham,2025-2026,0.34,0.23,0.4,0.16,1.07,2.38,81.8,1.2,1.87,1.5,8.28
305,Diogo Jota,Winger,32,Liverpool,2024-2025,0.38,0.41,0.48,0.22,3.8,1.99,80.8,1.4,1.55,0.77,5.66
306,William Saliba,Defender,26,Arsenal,2024-2025,0.1,0.09,0.13,0.0,0.6,0.71,91.1,0.47,2.13,6.13,5.89
307,Dango Ouattara,Winger,25,Bournemouth,2024-2025,0.4,0.44,0.26,0.22,3.14,1.76,84.8,3.04,0.75,0.27,5.91
308,Abdoulaye Doucouré,Midfielder,32,Everton,2021-2022,0.11,0.2,0.26,0.41,1.06,3.62,86.8,1.21,2.41,1.04,8.26
309,John Stones,Defender,32,Man City,2023-2024,0.12,0.12,0.13,0.1,0.51,0.71,83.2,0.4,3.76,6.44,4.79
310,John McGinn,Midfielder,30,Aston Villa,2021-2022,0.04,0.22,0.35,0.16,2.53,3.09,84.7,0.2,4.63,0.51,4.54
311,Ryan Gravenberch,Midfielder,22,Liverpool,2021-2022,0.06,0.21,0.34,0.2,1.41,2.55,77.8,1.45,2.25,0.7,6.99
312,Rasmus Højlund,Forward,23,Man United,2022-2023,0.4,0.87,0.29,0.13,2.54,0.67,90.2,2.04,0.37,1.62,3.47
313,Mason Mount,Winger,29,Man United,2025-2026,0.66,0.33,0.33,0.26,2.43,1.4,79.8,4.08,0.45,0.64,3.0
314,Callum Hudson-Odoi,Winger,27,Chelsea,2024-2025,0.42,0.42,0.54,0.16,2.59,2.17,77.8,4.43,1.94,0.77,6.08
315,Virgil van Dijk,Defender,35,Liverpool,2023-2024,0.08,0.16,0.13,0.1,0.38,1.16,82.3,0.34,5.32,2.59,
316,James Tarkowski,Defender,34,Everton,2022-2023,0.1,0.09,0.08,0.09,0.23,0.52,86.8,0.37,3.18,5.53,4.68
317,Emiliano Buendía,Winger,32,Aston Villa,2024-2025,0.26,0.59,0.21,0.29,3.86,2.0,83.3,2.83,1.24,0.91,5.46
318,Raúl Jiménez,Forward,36,Fulham,2024-2025,0.8,0.59,0.18,0.11,3.9,1.04,73.1,1.75,0.51,1.36,4.63
319,Emiliano Buendía,Winger,31,Aston Villa,2022-2023,0.12,0.26,0.2,0.21,2.28,1.36,78.0,4.35,0.9,0.88,5.87
320,Dominik Szoboszlai,Midfielder,28,Liverpool,2025-2026,0.31,0.25,0.29,0.15,0.87,1.97,91.5,2.21,3.0,0.33,6.98
321,César Azpilicueta,Defender,38,Chelsea,2025-2026,0.23,0.16,0.1,0.09,0.57,0.82,88.3,0.0,4.89,,4.71
322,Jurriën Timber,Defender,25,Arsenal,2022-2023,0.08,0.08,0.11,0.09,0.47,0.64,86.4,0.68,4.74,2.82,5.88
323,Marcus Rashford,Forward,31,Man United,2025-2026,0.67,0.62,0.36,0.23,3.68,1.54,75.7,1.49,0.87,1.49,5.24
324,Archie Gray,Midfielder,21,Tottenham,2024-2025,0.36,0.25,0.26,0.26,2.45,1.82,86.5,0.9,1.88,0.66,7.47
325,Gabriel Martinelli,Forward,23,Arsenal,2021-2022,0.89,0.46,0.22,0.22,2.84,1.31,78.1,1.87,0.59,0.71,4.1
326,Moussa Diaby,Winger,25,Aston Villa,2021-2022,0.24,0.28,0.21,0.19,2.47,1.85,86.8,0.81,1.75,0.97,1.89
327,Brennan Johnson,Winger,25,Tottenham,2023-2024,0.57,0.43,0.4,0.36,2.7,2.09,85.2,1.93,1.19,0.52,4.78
328,João Cancelo,Defender,33,Man City,2022-2023,0.12,0.09,0.06,0.04,0.25,0.6,78.0,0.37,5.1,1.66,6.82
329,Virgil van Dijk,Defender,34,Liverpool,2024-2025,0.18,0.1,0.11,0.12,0.75,1.03,88.3,0.95,5.05,6.51,4.5
330,Douglas Luiz,Midfielder,27,Aston Villa,2023-2024,0.21,0.16,0.37,0.08,1.1,1.66,92.6,0.63,3.47,1.22,6.99
331,Cole Palmer,Midfielder,24,Chelsea,2023-2024,0.29,0.15,0.11,0.02,1.06,1.75,86.7,1.21,3.19,0.43,8.45
332,Casemiro,Midfielder,34,Man United,2023-2024,0.27,0.18,0.3,0.21,1.25,3.63,90.1,1.77,2.34,0.92,11.56
333,Rodrigo Muniz,Forward,25,Fulham,2023-2024,0.77,0.7,0.1,0.28,3.02,1.05,77.0,2.39,0.63,1.4,5.48
334,Dominik Szoboszlai,Midfielder,27,Liverpool,2024-2025,0.2,0.23,0.19,0.05,1.76,2.63,84.8,1.93,2.18,1.9,11.25
335,Marc Guéhi,Defender,27,Crystal Palace,2025-2026,0.24,0.15,0.07,0.02,0.69,0.37,84.7,0.84,5.47,3.25,6.66
336,Anthony Gordon,Winger,25,Newcastle,2023-2024,0.56,0.17,0.44,0.29,1.34,1.86,77.6,2.24,1.42,0.71,3.95
337,Declan Rice,Midfielder,29,Arsenal,2023-2024,0.17,0.17,0.33,0.14,0.9,3.97,93.5,1.38,4.43,1.16,6.6
338,Angelo Ogbonna,Defender,36,West Ham,2021-2022,0.05,0.08,0.19,0.06,0.31,1.09,83.4,0.0,5.05,3.86,4.37
339,Lucas Paquetá,Midfielder,30,West Ham,2022-2023,0.2,0.08,,0.17,1.8,2.26,92.8,2.01,3.21,0.25,7.61
340,Lyle Foster,Forward,24,Burnley,2021-2022,0.72,0.26,0.05,0.2,3.47,1.33,79.7,1.32,0.99,0.82,2.64
341,Andros Townsend,Winger,34,Everton,2022-2023,0.34,0.4,0.37,0.38,1.72,2.37,74.7,3.11,0.68,0.28,5.97
342,Raheem Sterling,Winger,33,Arsenal,2024-2025,0.32,0.09,0.19,0.28,2.95,2.29,74.2,3.04,1.28,0.68,4.47
343,Vitaliy Mykolenko,Defender,29,Everton,2025-2026,0.19,0.21,0.07,0.09,0.97,0.8,91.4,1.0,3.23,3.42,3.22
344,James Garner,Midfielder,27,Everton,2025-2026,0.25,0.17,0.31,0.21,1.76,2.29,90.1,2.06,3.33,0.61,8.56
345,Mason Greenwood,Forward,26,Man United,2024-2025,0.88,0.52,0.25,0.17,3.4,1.91,84.7,0.2,0.87,0.52,2.96
346,Ibrahima Konaté,Defender,27,Liverpool,2023-2024,0.19,0.04,0.03,0.11,0.04,0.57,81.2,0.36,4.78,3.8,2.55
347,Rúben Dias,Defender,32,Man City,2025-2026,0.23,0.16,0.19,0.09,0.54,0.67,80.2,0.9,5.36,5.62,4.46
348,Harry Maguire,Defender,31,Man United,2022-2023,0.12,0.0,0.05,0.06,0.76,0.35,79.2,0.76,5.86,5.82,4.01
349,Evan Ferguson,Forward,21,Brighton,2022-2023,0.78,0.64,0.2,0.08,2.81,1.1,79.3,0.6,1.72,1.37,5.0
350,Pierre-Emile Højbjerg,Midfielder,29,Tottenham,2021-2022,0.17,0.21,0.3,0.27,1.94,2.14,82.6,0.97,1.23,2.23,5.51
351,Darwin Núñez,Forward,29,Liverpool,2024-2025,0.7,0.49,0.01,0.14,2.16,1.1,78.1,1.43,0.56,0.32,4.46
352,Max Kilman,Defender,29,West Ham,2023-2024,0.09,0.18,0.0,0.07,0.65,1.27,87.1,0.09,3.81,4.89,5.28
353,Dwight McNeil,Winger,27,Everton,2024-2025,0.64,0.28,0.47,0.55,2.0,1.57,81.4,2.74,0.9,0.26,5.44
354,Michail Antonio,Forward,35,West Ham,2022-2023,0.8,0.88,0.22,0.31,4.64,1.0,79.4,3.02,1.52,1.01,4.17
355,Joško Gvardiol,Defender,23,Man City,2022-2023,0.06,0.0,0.17,0.09,0.63,0.65,82.7,0.7,3.57,3.15,5.85
356,Declan Rice,Midfielder,31,Arsenal,2025-2026,0.45,0.03,0.32,0.23,0.66,1.94,87.3,1.39,3.8,1.42,7.53
357,Pierre-Emerick Aubameyang,Forward,37,Arsenal,2023-2024,0.99,0.59,0.27,0.08,4.65,1.66,79.5,1.86,1.21,0.82,4.68
358,Wesley Fofana,Defender,23,Chelsea,2021-2022,0.07,0.12,0.21,0.1,0.75,0.07,81.3,0.32,3.58,4.3,3.84
359,Mason Greenwood,Forward,23,Man United,2021-2022,0.48,0.55,0.12,0.09,3.42,1.32,75.5,1.47,0.99,0.12,1.81
360,Anthony Martial,Forward,32,Man United,2023-2024,0.52,0.64,0.22,0.09,4.33,1.73,84.2,1.11,1.18,0.44,4.39
361,Ellis Simms,Forward,27,Sunderland,2025-2026,0.66,0.68,0.0,0.22,3.8,0.83,80.5,2.54,0.66,0.96,4.08
362,Jarrod Bowen,Winger,29,West Ham,2022-2023,0.12,0.31,0.13,0.3,2.05,2.25,83.8,2.73,0.2,0.92,6.42
363,Kalvin Phillips,Midfielder,30,Leeds United,2021-2022,0.19,0.12,0.33,0.35,1.68,2.41,80.8,0.96,2.56,0.9,7.16
364,Chris Wood,Forward,36,Nottingham Forest,2024-2025,0.86,0.32,0.09,0.0,3.46,1.62,89.9,1.56,0.95,0.46,2.97
365,Brennan Johnson,Winger,24,Tottenham,2022-2023,0.38,0.33,0.24,0.16,2.29,1.64,73.4,3.29,1.75,0.47,4.61
366,Anthony Elanga,Forward,23,Nottingham Forest,2022-2023,0.26,1.0,0.15,0.18,5.36,0.39,74.5,2.15,1.55,0.68,1.07
367,Takehiro Tomiyasu,Defender,27,Arsenal,2022-2023,0.2,0.08,0.15,0.11,0.39,1.05,84.4,0.4,5.05,3.97,4.05
368,Nathan Aké,Defender,29,Man City,2021-2022,0.08,0.01,0.16,0.07,0.61,0.95,85.2,0.93,4.49,3.77,5.01
369,Marc Cucurella,Defender,30,Chelsea,2025-2026,0.24,0.13,0.04,0.08,0.38,0.91,73.5,0.63,5.11,5.56,5.95
370,Kalidou Koulibaly,Defender,33,Chelsea,2021-2022,0.05,0.05,0.15,0.02,0.67,1.04,86.5,0.67,5.2,1.26,5.45
371,Joel Piroe,Forward,24,Leeds United,2021-2022,0.34,0.57,0.23,0.2,6.0,1.49,83.7,2.47,1.16,0.57,4.41
372,Cameron Archer,Forward,27,Sunderland,2025-2026,1.04,0.76,0.15,0.15,2.7,1.41,77.1,2.07,1.32,0.86,4.85
373,Anthony Gordon,Winger,23,Everton,2022-2023,0.3,0.34,0.49,0.21,2.91,1.78,79.1,4.15,1.58,0.67,4.51
374,Demarai Gray,Winger,30,Everton,2022-2023,0.3,0.26,0.43,0.4,2.82,2.32,79.0,2.01,0.37,0.0,5.51
375,Douglas Luiz,Midfielder,26,Aston Villa,2021-2022,0.16,0.15,0.14,0.24,0.69,2.32,82.4,1.16,3.79,1.75,8.6
376,Ben White,Defender,31,Arsenal,2025-2026,0.23,0.19,0.13,0.08,0.96,,86.3,0.7,3.27,4.65,7.34
377,Martin Ødegaard,Midfielder,29,Arsenal,2024-2025,0.24,0.19,0.36,0.03,0.95,2.66,88.0,1.24,2.5,0.88,7.85
378,Adam Wharton,Midfielder,24,Crystal Palace,2025-2026,0.5,0.28,0.3,0.22,1.84,1.69,91.9,1.48,3.23,1.12,7.32
379,Savinho,Winger,23,Man City,2023-2024,0.43,0.52,0.34,,3.11,2.62,80.0,3.78,1.78,0.75,3.78
380,Mateo Kovačić,Midfielder,31,Chelsea,2022-2023,0.28,0.22,0.18,0.23,1.59,1.02,88.8,1.99,1.92,0.5,7.44
